component	source_url	requested_revision	resolved_sha	mutable	import_path	scope	notes
eyelash_corne	a741725193/zmk-new_corne	main	ba1eeab627ba94ac46f7768b3ddc01f97873ca87	yes	config/west.yml	direct build manifest	branch ref; mutable
zmk	cormoran/zmk	v0.3-branch+dya	4493783ef88ce2e653bf8217c92ee17140df71e3	yes	config/west.yml -> app/west.yml	direct project; imports app/west.yml	branch ref; mutable
zmk-behavior-runtime-sensor-rotate	cormoran/zmk-behavior-runtime-sensor-rotate	main	8b1125ed676c1f5e14145d217984f33d0ebdcef4	yes	config/west.yml	direct build manifest	branch ref; mutable
zmk-module-ble-management	cormoran/zmk-module-ble-management	zmk-v0.3.0.0	851661cd21f2aded8ec649da86e01a207dc4b973	yes	config/west.yml	direct build manifest	lightweight tag ref; mutable
zmk-module-battery-history	cormoran/zmk-module-battery-history	main	307755dd2ad4d320e14de162e8e5ef018f29d929	yes	config/west.yml	direct build manifest	branch ref; mutable
zmk-module-settings-rpc	cormoran/zmk-module-settings-rpc	main	78f86df9e6c5edaf57bef3ccbd7f360cfdf49291	yes	config/west.yml	direct build manifest	branch ref; mutable
zmk-module-runtime-input-processor	cormoran/zmk-module-runtime-input-processor	zmk-v0.3.0.0	dbf92f764de8b6ffd60bf5850514302875fe2570	yes	config/west.yml	direct build manifest	lightweight tag ref; mutable
zephyr	zmkfirmware/zephyr	v3.5.0+zmk-fixes	dacab4875df72109b96cc8977547a0dc04875bcd	yes	config/west.yml -> zmk/app/west.yml	imported build manifest	branch ref; mutable
nanopb	zmkfirmware/nanopb	8c60555d6277a0360c876bd85d491fc4fb0cd74a	8c60555d6277a0360c876bd85d491fc4fb0cd74a	no	modules/lib/nanopb	active imported build manifest	full commit SHA requested; active; not optional
zmk-studio-messages	cormoran/zmk-studio-messages	89b81d2e587fce807b668dff2a6967a40beef421	89b81d2e587fce807b668dff2a6967a40beef421	no	config/west.yml -> zmk/app/west.yml	imported build manifest	full commit SHA requested
acpica	zephyrproject-rtos/acpica	0333c2af13179f9b33d495cf7cb9a509f751cbb1	0333c2af13179f9b33d495cf7cb9a509f751cbb1	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
bsim	zephyrproject-rtos/babblesim-manifest	384a091445c57b44ac8cbd18ebd245b47c71db94	384a091445c57b44ac8cbd18ebd245b47c71db94	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_base	BabbleSim/base.git	19d62424c0802c6c9fc15528febe666e40f372a1	19d62424c0802c6c9fc15528febe666e40f372a1	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_libPhyComv1	BabbleSim/ext_2G4_libPhyComv1.git	9018113a362fa6c9e8f4b9cab9e5a8f12cc46b94	9018113a362fa6c9e8f4b9cab9e5a8f12cc46b94	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_phy_v1	BabbleSim/ext_2G4_phy_v1.git	d47c6dd90035b41b14f6921785ccb7b8484868e2	d47c6dd90035b41b14f6921785ccb7b8484868e2	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_channel_NtNcable	BabbleSim/ext_2G4_channel_NtNcable.git	20a38c997f507b0aa53817aab3d73a462fff7af1	20a38c997f507b0aa53817aab3d73a462fff7af1	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_channel_multiatt	BabbleSim/ext_2G4_channel_multiatt.git	bde72a57384dde7a4310bcf3843469401be93074	bde72a57384dde7a4310bcf3843469401be93074	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_modem_magic	BabbleSim/ext_2G4_modem_magic.git	cb70771794f0bf6f262aa474848611c68ae8f1ed	cb70771794f0bf6f262aa474848611c68ae8f1ed	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_modem_BLE_simple	BabbleSim/ext_2G4_modem_BLE_simple.git	809ab073159c9ab6686c2fea5749b0702e0909f7	809ab073159c9ab6686c2fea5749b0702e0909f7	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_device_burst_interferer	BabbleSim/ext_2G4_device_burst_interferer.git	5b5339351d6e6a2368c686c734dc8b2fc65698fc	5b5339351d6e6a2368c686c734dc8b2fc65698fc	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_device_WLAN_actmod	BabbleSim/ext_2G4_device_WLAN_actmod.git	9cb6d8e72695f6b785e57443f0629a18069d6ce4	9cb6d8e72695f6b785e57443f0629a18069d6ce4	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_2G4_device_playback	BabbleSim/ext_2G4_device_playback.git	85c645929cf1ce995d8537107d9dcbd12ed64036	85c645929cf1ce995d8537107d9dcbd12ed64036	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
babblesim_ext_libCryptov1	BabbleSim/ext_libCryptov1.git	eed6d7038e839153e340bd333bc43541cb90ba64	eed6d7038e839153e340bd333bc43541cb90ba64	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; disabled by zephyr group-filter -babblesim	full commit SHA requested; groups=babblesim
canopennode	zephyrproject-rtos/canopennode	dec12fa3f0d790cafa8414a4c2930ea71ab72ffd	dec12fa3f0d790cafa8414a4c2930ea71ab72ffd	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
cmsis	zephyrproject-rtos/cmsis	5a00331455dd74e31e80efa383a489faea0590e3	5a00331455dd74e31e80efa383a489faea0590e3	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
cmsis-dsp	zephyrproject-rtos/cmsis-dsp	ff7b5fd1ea5f094665c090c343ec44e74dc0b193	ff7b5fd1ea5f094665c090c343ec44e74dc0b193	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
cmsis-nn	zephyrproject-rtos/cmsis-nn	0c8669d81381ccf3b1a01d699f3b68b50134a99f	0c8669d81381ccf3b1a01d699f3b68b50134a99f	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
edtt	zephyrproject-rtos/edtt	64e5105ad82390164fb73fc654be3f73a608209a	64e5105ad82390164fb73fc654be3f73a608209a	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=tools
fatfs	zephyrproject-rtos/fatfs	427159bf95ea49b7680facffaa29ad506b42709b	427159bf95ea49b7680facffaa29ad506b42709b	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=fs
hal_altera	zephyrproject-rtos/hal_altera	0d225ddd314379b32355a00fb669eacf911e750d	0d225ddd314379b32355a00fb669eacf911e750d	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_ambiq	zephyrproject-rtos/hal_ambiq	0a7c99325aa73a1ef777501da91c2c6608661e56	0a7c99325aa73a1ef777501da91c2c6608661e56	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_atmel	zephyrproject-rtos/hal_atmel	5ab43007eda3f380c125f957f03638d2e8d1144d	5ab43007eda3f380c125f957f03638d2e8d1144d	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_espressif	zephyrproject-rtos/hal_espressif	31fc5758f3507f8f0af00b1dea1a0df7af99bfc0	31fc5758f3507f8f0af00b1dea1a0df7af99bfc0	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_ethos_u	zephyrproject-rtos/hal_ethos_u	90ada2ea5681b2a2722a10d2898eac34c2510791	90ada2ea5681b2a2722a10d2898eac34c2510791	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_gigadevice	zephyrproject-rtos/hal_gigadevice	2994b7dde8b0b0fa9b9c0ccb13474b6a486cddc3	2994b7dde8b0b0fa9b9c0ccb13474b6a486cddc3	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_infineon	zephyrproject-rtos/hal_infineon	815e84a5150f95627201f192779a0180d5052de7	815e84a5150f95627201f192779a0180d5052de7	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_intel	zephyrproject-rtos/hal_intel	b3b43d4e3da7ba483611bbbea7ef8af92c69df31	b3b43d4e3da7ba483611bbbea7ef8af92c69df31	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_microchip	zephyrproject-rtos/hal_microchip	5d079f1683a00b801373bbbbf5d181d4e33b30d5	5d079f1683a00b801373bbbbf5d181d4e33b30d5	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_nordic	zephyrproject-rtos/hal_nordic	884c4d61746bc35fbd379c169fc87ddb56c6461d	884c4d61746bc35fbd379c169fc87ddb56c6461d	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_nuvoton	zephyrproject-rtos/hal_nuvoton	3e0a4c4d3328b2f72b164219add19d5308b53cb5	3e0a4c4d3328b2f72b164219add19d5308b53cb5	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_nxp	zephyrproject-rtos/hal_nxp	ad142f5612d927e29b1f9606e8edade871b8a526	ad142f5612d927e29b1f9606e8edade871b8a526	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_openisa	zephyrproject-rtos/hal_openisa	d1e61c0c654d8ca9e73d27fca3a7eb3b7881cb6a	d1e61c0c654d8ca9e73d27fca3a7eb3b7881cb6a	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_quicklogic	zephyrproject-rtos/hal_quicklogic	b3a66fe6d04d87fd1533a5c8de51d0599fcd08d0	b3a66fe6d04d87fd1533a5c8de51d0599fcd08d0	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_renesas	zephyrproject-rtos/hal_renesas	a6cf2af9140e014fbbc48d2b6deb802231dd369f	a6cf2af9140e014fbbc48d2b6deb802231dd369f	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
