workflow	source	requested_ref	resolved_sha	trigger	permissions	writes_repository	notes
Build ZMK firmware / reusable	zmkfirmware/zmk	v0.3.0	edf5c0814fd3ea202e43aad2d68fd32e882a518c	caller: workflow_dispatch or push except keymap-drawer/**; reusable: workflow_call	not declared by caller or callee; GitHub repository default governs	unknown	lightweight tag ref; path=.github/workflows/build-user-config.yml; exact source cloned and inspected
Build ZMK firmware / matrix checkout	actions/checkout	v4	11d5960a326750d5838078e36cf38b85af677262	reusable matrix job	not declared; inherits caller repository default	unknown	nested use; lightweight tag ref
Build ZMK firmware / build checkout	actions/checkout	v4	11d5960a326750d5838078e36cf38b85af677262	reusable build job	not declared; inherits caller repository default	unknown	nested use; lightweight tag ref
Build ZMK firmware / cache	actions/cache	v4	0057852bfaa89a56745cba8c7296529d2fc39830	reusable build job	not declared; inherits caller repository default	unknown	nested use; lightweight tag ref
Build ZMK firmware / upload artifact	actions/upload-artifact	v4	ea165f8d65b6e75b540449e92b4886f43607fa02	reusable build job	not declared; inherits caller repository default	unknown	nested use; lightweight tag ref
Build ZMK firmware / merge artifact	actions/upload-artifact/merge	v4	ea165f8d65b6e75b540449e92b4886f43607fa02	reusable merge job	not declared; inherits caller repository default	unknown	nested use; subdirectory of actions/upload-artifact; lightweight tag ref
Draw Keymap / reusable	caksoylar/keymap-drawer	main	3a4ca7e060a54ba700d3e7b6a43cb0b9cec347d2	caller: workflow_dispatch or push config/**,.github/workflows/draw.yml,keymap_drawer.config.yaml; reusable: workflow_call	contents: write	yes	branch ref; path=.github/workflows/draw-zmk.yml; exact source cloned and inspected; destination=commit
Draw Keymap / checkout	actions/checkout	v6	d23441a48e516b6c34aea4fa41551a30e30af803	reusable draw job	contents: write	yes	nested use; persisted checkout credentials can use caller write token; lightweight tag ref
Draw Keymap / auto commit	stefanzweifel/git-auto-commit-action	v7	4a55954c782fc1ea30b9056cd3e7a2b40ca8887d	reusable draw job; destination=commit	contents: write	yes	nested use; commits and pushes generated keymap files; lightweight tag ref
Draw Keymap / upload artifact	actions/upload-artifact	v7	043fb46d1a93c77aae656e7c1c64a875d1fc6a0a	reusable draw job; destination=commit skips this step	not executed for current invocation	no	nested use exists counterfactually for non-commit destinations; skipped before action execution for current destination=commit invocation; lightweight tag ref
